Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,5/19/2021,6:00:00 PM,Kerala,1,0,0,0,1
2,5/19/2021,6:00:00 PM,Kerala,1,0,0,0,1
3,5/19/2021,6:00:00 PM,Kerala,2,0,0,0,2
4,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
5,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
6,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
7,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
8,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
9,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
10,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
11,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
12,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
13,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
14,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
15,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
16,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
17,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
18,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
19,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
20,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
21,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
22,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
23,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
24,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
25,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
26,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
27,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
28,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
29,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
30,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
31,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
32,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
33,5/19/2021,6:00:00 PM,Telengana,1,0,0,0,1
34,5/19/2021,6:00:00 PM,Kerala,3,0,0,0,3
35,5/19/2021,6:00:00 PM,Delhi,1,0,0,0,1
36,5/19/2021,6:00:00 PM,Telengana,1,0,0,0,1
37,5/18/2021,6:00:00 PM,Rajasthan,0,1,0,0,1
38,5/18/2021,6:00:00 PM,Kerala,3,0,3,0,3
39,5/18/2021,6:00:00 PM,Delhi,1,0,0,0,1
40,5/18/2021,6:00:00 PM,Uttar Pradesh,6,0,0,0,6
41,5/18/2021,6:00:00 PM,Kerala,3,0,3,0,3
42,5/18/2021,6:00:00 PM,Haryana,0,2,0,0,2
43,5/18/2021,6:00:00 PM,Delhi,1,0,0,0,1
44,5/18/2021,6:00:00 PM,Telengana,1,0,0,0,1
45,5/18/2021,6:00:00 PM,Rajasthan,1,14,0,0,15
46,5/18/2021,6:00:00 PM,Delhi,2,0,0,0,2
47,5/18/2021,6:00:00 PM,Haryana,0,2,0,0,2
48,5/18/2021,6:00:00 PM,Kerala,3,0,3,0,3
49,5/18/2021,6:00:00 PM,Rajasthan,1,14,0,0,15
50,5/18/2021,6:00:00 PM,Telengana,1,0,0,0,1
51,5/18/2021,6:00:00 PM,Uttar Pradesh,7,0,0,0,7
52,5/18/2021,6:00:00 PM,Delhi,3,0,0,0,3
53,5/18/2021,6:00:00 PM,Haryana,0,2,0,0,2
54,5/18/2021,6:00:00 PM,Kerala,3,0,3,0,3
55,5/18/2021,6:00:00 PM,Rajasthan,1,14,0,0,15
56,5/18/2021,6:00:00 PM,Uttar Pradesh,7,0,0,0,7
57,5/18/2021,6:00:00 PM,Telengana,1,0,0,0,1
58,5/18/2021,6:00:00 PM,Kerala,3,0,3,0,3
59,5/18/2021,6:00:00 PM,Uttar Pradesh,7,0,0,0,7
60,5/18/2021,6:00:00 PM,Ladakh,2,0,0,0,2
61,5/18/2021,6:00:00 PM,Telengana,1,0,0,0,1
62,5/18/2021,6:00:00 PM,Tamil Nadu,1,0,0,0,1
63,5/18/2021,6:00:00 PM,Delhi,3,0,0,0,3
64,5/18/2021,6:00:00 PM,Haryana,0,2,0,0,2
65,5/18/2021,6:00:00 PM,Rajasthan,1,14,0,0,15
66,5/18/2021,6:00:00 PM,Ladakh,2,0,0,0,2
67,5/18/2021,6:00:00 PM,Telengana,1,0,0,0,1
68,5/18/2021,6:00:00 PM,Tamil Nadu,1,0,0,0,1
69,5/18/2021,6:00:00 PM,Rajasthan,1,14,0,0,15
70,5/18/2021,6:00:00 PM,Kerala,8,0,3,0,8
71,5/18/2021,6:00:00 PM,Haryana,0,2,0,0,2
72,5/18/2021,6:00:00 PM,Delhi,3,0,0,0,3
73,5/17/2021,6:00:00 PM,Uttar Pradesh,7,0,0,0,7
74,5/17/2021,6:00:00 PM,Ladakh,2,0,0,0,2
75,5/17/2021,6:00:00 PM,Karnataka,1,0,0,0,1
76,5/17/2021,6:00:00 PM,Kerala,9,0,3,0,9
77,5/17/2021,6:00:00 PM,Maharashtra,2,0,0,0,2
78,5/17/2021,6:00:00 PM,Punjab,1,0,0,0,1
79,5/17/2021,6:00:00 PM,Rajasthan,1,14,0,0,15
80,5/17/2021,6:00:00 PM,Tamil Nadu,1,0,0,0,1
81,5/17/2021,6:00:00 PM,Telengana,1,0,0,0,1
82,5/17/2021,6:00:00 PM,Jammu and Kashmir,1,0,0,0,1
83,5/17/2021,6:00:00 PM,Uttar Pradesh,7,0,0,0,7
84,5/17/2021,6:00:00 PM,Haryana,0,2,0,0,2
85,5/17/2021,6:00:00 PM,Delhi,4,0,0,0,4
86,5/17/2021,6:00:00 PM,Uttar Pradesh,7,0,0,0,7
87,5/17/2021,6:00:00 PM,Ladakh,2,0,0,0,2
88,5/17/2021,6:00:00 PM,Delhi,4,0,0,0,4
89,5/17/2021,6:00:00 PM,Haryana,0,2,0,0,2
90,5/17/2021,6:00:00 PM,Karnataka,4,0,0,0,4
91,5/17/2021,6:00:00 PM,Kerala,15,0,3,0,15
